date,rainfall_mm,station,sta. ID,elevation (m),lat,long
12/25/2000,0,Cikao,32140303a,36,-6.5113,107.40296
12/26/2000,11,Cikao,32140303a,36,-6.5113,107.40296
12/27/2000,0,Cikao,32140303a,36,-6.5113,107.40296
12/28/2000,0,Cikao,32140303a,36,-6.5113,107.40296
12/29/2000,13,Cikao,32140303a,36,-6.5113,107.40296
12/30/2000,8,Cikao,32140303a,36,-6.5113,107.40296
12/31/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/1/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/2/2001,60,Cikao,32140303a,36,-6.5113,107.40296
1/3/2001,10,Cikao,32140303a,36,-6.5113,107.40296
1/4/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/5/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/6/2001,10,Cikao,32140303a,36,-6.5113,107.40296
1/7/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/8/2001,3,Cikao,32140303a,36,-6.5113,107.40296
1/9/2001,8,Cikao,32140303a,36,-6.5113,107.40296
1/10/2001,63,Cikao,32140303a,36,-6.5113,107.40296
1/11/2001,6,Cikao,32140303a,36,-6.5113,107.40296
1/12/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/13/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/14/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/15/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/16/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/17/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/18/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/19/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/20/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/21/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/22/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/23/2001,29,Cikao,32140303a,36,-6.5113,107.40296
1/24/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/25/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/26/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/27/2001,8,Cikao,32140303a,36,-6.5113,107.40296
1/28/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/29/2001,81,Cikao,32140303a,36,-6.5113,107.40296
1/30/2001,0,Cikao,32140303a,36,-6.5113,107.40296
1/31/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/1/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/2/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/3/2001,5,Cikao,32140303a,36,-6.5113,107.40296
2/4/2001,11,Cikao,32140303a,36,-6.5113,107.40296
2/5/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/6/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/7/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/8/2001,4,Cikao,32140303a,36,-6.5113,107.40296
2/9/2001,15,Cikao,32140303a,36,-6.5113,107.40296
2/10/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/11/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/12/2001,20,Cikao,32140303a,36,-6.5113,107.40296
2/13/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/14/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/15/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/16/2001,2,Cikao,32140303a,36,-6.5113,107.40296
2/17/2001,15,Cikao,32140303a,36,-6.5113,107.40296
2/18/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/19/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/20/2001,6,Cikao,32140303a,36,-6.5113,107.40296
2/21/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/22/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/23/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/24/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/25/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/26/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/27/2001,0,Cikao,32140303a,36,-6.5113,107.40296
2/28/2001,0,Cikao,32140303a,36,-6.5113,107.40296
3/1/2001,0,Cikao,32140303a,36,-6.5113,107.40296
3/2/2001,0,Cikao,32140303a,36,-6.5113,107.40296
3/3/2001,4,Cikao,32140303a,36,-6.5113,107.40296
3/4/2001,0,Cikao,32140303a,36,-6.5113,107.40296
3/5/2001,0,Cikao,32140303a,36,-6.5113,107.40296
3/6/2001,0,Cikao,32140303a,36,-6.5113,107.40296
